Id,Fipe,Marca,Modelo,Valor,Ano Fabricacao,Ano Modelo,KM,Transmissao,Cor,Versao,Cidade,Tipo Vendedor,Link
39994796,115,VOLKSWAGEN,GOL,33900,2013,2013,111432,Manual,Branco,1.0 MI 8V FLEX 4P MANUAL G.VI,Itajaí,PJ,https://www.webmotors.com.br/comprar/VOLKSWAGEN/GOL/1.0-MI-8V-FLEX-4P-MANUAL-G.VI/4-portas/2013-2013/39994796
37701304,99,MERCEDES-BENZ,A 200,93900,2014,2015,79800,Automática,Preto,1.6 TURBO URBAN 16V GASOLINA 4P AUTOMATICO,São José,PJ,https://www.webmotors.com.br/comprar/MERCEDES-BENZ/A 200/1.6-TURBO-URBAN-16V-GASOLINA-4P-AUTOMATICO/4-portas/2014-2015/37701304
39421684,106,CHEVROLET,PRISMA,51989,2017,2018,84387,Manual,Preto,1.0 MPFI JOY 8V FLEX 4P MANUAL,Balneário Camboriú,PJ,https://www.webmotors.com.br/comprar/CHEVROLET/PRISMA/1.0-MPFI-JOY-8V-FLEX-4P-MANUAL/4-portas/2017-2018/39421684
36267961,127,RENAULT,SANDERO,85990,2021,2021,0,Manual,Indefinida,1.0 12V SCE FLEX GT LINE MANUAL,Brusque,PJ,https://www.webmotors.com.br/comprar/RENAULT/SANDERO/1.0-12V-SCE-FLEX-GT-LINE-MANUAL/4-portas/2021-2021/36267961
38275020,100,FIAT,MOBI,45000,2018,2018,67738,Manual,Vermelho,1.0 EVO FLEX WAY MANUAL,Brusque,PJ,https://www.webmotors.com.br/comprar/FIAT/MOBI/1.0-EVO-FLEX-WAY-MANUAL/3-portas/2018-2018/38275020
39995400,103,TOYOTA,YARIS,85900,2018,2019,31100,Automática,Prata,1.5 16V FLEX SEDAN XS MULTIDRIVE,São José,PJ,https://www.webmotors.com.br/comprar/TOYOTA/YARIS/1.5-16V-FLEX-SEDAN-XS-MULTIDRIVE/4-portas/2018-2019/39995400
39421967,95,VOLKSWAGEN,VOYAGE,41000,2015,2016,82000,Manual,Prata,1.6 MI TRENDLINE 8V FLEX 4P MANUAL,Itajaí,PF,https://www.webmotors.com.br/comprar/VOLKSWAGEN/VOYAGE/1.6-MI-TRENDLINE-8V-FLEX-4P-MANUAL/4-portas/2015-2016/39421967
38848723,110,HYUNDAI,HB20,69900,2021,2022,0,Manual,Dourado,1.0 12V FLEX SENSE MANUAL,Itajaí,PJ,https://www.webmotors.com.br/comprar/HYUNDAI/HB20/1.0-12V-FLEX-SENSE-MANUAL/4-portas/2021-2022/38848723
39708874,159,FIAT,PALIO,29900,2003,2004,100,Manual,Preto,1.8 MPI HLX 8V GASOLINA 4P MANUAL,Balneário Camboriú,PJ,https://www.webmotors.com.br/comprar/FIAT/PALIO/1.8-MPI-HLX-8V-GASOLINA-4P-MANUAL/4-portas/2003-2004/39708874
39422176,104,VOLKSWAGEN,VOYAGE,60499,2019,2020,51549,Manual,Prata,1.6 MSI TOTALFLEX 4P MANUAL,Itajaí,PJ,https://www.webmotors.com.br/comprar/VOLKSWAGEN/VOYAGE/1.6-MSI-TOTALFLEX-4P-MANUAL/4-portas/2019-2020/39422176
38848777,104,VOLKSWAGEN,VOYAGE,54900,2019,2019,54000,Manual,Branco,1.0 12V MPI TOTALFLEX 4P MANUAL,Itajaí,PJ,https://www.webmotors.com.br/comprar/VOLKSWAGEN/VOYAGE/1.0-12V-MPI-TOTALFLEX-4P-MANUAL/4-portas/2019-2019/38848777
39422257,110,HYUNDAI,HB20S,62499,2016,2016,86859,Manual,Preto,1.6 COMFORT STYLE 16V FLEX 4P MANUAL,Itajaí,PJ,https://www.webmotors.com.br/comprar/HYUNDAI/HB20S/1.6-COMFORT-STYLE-16V-FLEX-4P-MANUAL/4-portas/2016-2016/39422257
38848845,108,RENAULT,KWID,44900,2018,2018,25000,Manual,Branco,1.0 12V SCE FLEX ZEN MANUAL,Itajaí,PJ,https://www.webmotors.com.br/comprar/RENAULT/KWID/1.0-12V-SCE-FLEX-ZEN-MANUAL/4-portas/2018-2018/38848845
38848861,108,NISSAN,MARCH,53900,2019,2019,42000,Manual,Preto,1.0 SV 12V FLEX 4P MANUAL,Itajaí,PJ,https://www.webmotors.com.br/comprar/NISSAN/MARCH/1.0-SV-12V-FLEX-4P-MANUAL/4-portas/2019-2019/38848861
39995742,102,HYUNDAI,HB20,69990,2019,2019,39131,Automática,Branco,1.6 COMFORT PLUS 16V FLEX 4P AUTOMATICO,São José,PJ,https://www.webmotors.com.br/comprar/HYUNDAI/HB20/1.6-COMFORT-PLUS-16V-FLEX-4P-AUTOMATICO/4-portas/2019-2019/39995742
36268537,114,RENAULT,SANDERO,78990,2021,2021,0,Manual,Indefinida,1.0 12V SCE FLEX ZEN MANUAL,Brusque,PJ,https://www.webmotors.com.br/comprar/RENAULT/SANDERO/1.0-12V-SCE-FLEX-ZEN-MANUAL/4-portas/2021-2021/36268537
39135749,110,CHEVROLET,ONIX,59900,2019,2019,36700,Manual,Preto,1.0 MPFI LT 8V FLEX 4P MANUAL,Brusque,PJ,https://www.webmotors.com.br/comprar/CHEVROLET/ONIX/1.0-MPFI-LT-8V-FLEX-4P-MANUAL/4-portas/2019-2019/39135749
39709241,118,PEUGEOT,208,56990,2015,2016,62500,Manual,Prata,1.5 ALLURE 8V FLEX 4P MANUAL,Brusque,PJ,https://www.webmotors.com.br/comprar/PEUGEOT/208/1.5-ALLURE-8V-FLEX-4P-MANUAL/4-portas/2015-2016/39709241
37988992,102,PEUGEOT,408,39500,2011,2012,113000,Automática,Prata,2.0 FELINE 16V FLEX 4P AUTOMATICO,Itajaí,PJ,https://www.webmotors.com.br/comprar/PEUGEOT/408/2.0-FELINE-16V-FLEX-4P-AUTOMATICO/4-portas/2011-2012/37988992
39422690,104,NISSAN,KICKS,99900,2019,2020,34600,Automática,Branco,1.6 16V FLEXSTART SV 4P XTRONIC,Itajaí,PJ,https://www.webmotors.com.br/comprar/NISSAN/KICKS/1.6-16V-FLEXSTART-SV-4P-XTRONIC/4-portas/2019-2020/39422690
39422767,107,TOYOTA,COROLLA,91900,2015,2016,83000,Automática,Branco,2.0 XEI 16V FLEX 4P AUTOMATICO,Braço do Norte,PJ,https://www.webmotors.com.br/comprar/TOYOTA/COROLLA/2.0-XEI-16V-FLEX-4P-AUTOMATICO/4-portas/2015-2016/39422767
39709697,114,CHEVROLET,ONIX,99900,2019,2020,3100,Automática,Vermelho,1.0 TURBO FLEX PLUS PREMIER AUTOMATICO,Brusque,PJ,https://www.webmotors.com.br/comprar/CHEVROLET/ONIX/1.0-TURBO-FLEX-PLUS-PREMIER-AUTOMATICO/4-portas/2019-2020/39709697
39996485,102,NISSAN,KICKS,89000,2019,2019,74673,Automática,Preto,1.6 16V FLEXSTART S DIRECT 4P XTRONIC,Camboriú,PJ,https://www.webmotors.com.br/comprar/NISSAN/KICKS/1.6-16V-FLEXSTART-S-DIRECT-4P-XTRONIC/4-portas/2019-2019/39996485
39423186,119,VOLKSWAGEN,POLO,74900,2019,2020,24239,Manual,Prata,1.0 MPI TOTAL FLEX MANUAL,Balneário Camboriú,PJ,https://www.webmotors.com.br/comprar/VOLKSWAGEN/POLO/1.0-MPI-TOTAL-FLEX-MANUAL/4-portas/2019-2020/39423186
39424103,118,VOLKSWAGEN,FOX,61900,2017,2017,17000,Manual,Branco,1.6 MSI RUN 8V FLEX 4P MANUAL,Gaspar,PJ,https://www.webmotors.com.br/comprar/VOLKSWAGEN/FOX/1.6-MSI-RUN-8V-FLEX-4P-MANUAL/4-portas/2017-2017/39424103
